"countyCode","population","total.Under.5.years","percent.Under.5.years","total.5.to.9.years","percent.5.to.9.years","total.10.to.14.years","percent.10.to.14.years","total.15.to.19.years","percent.15.to.19.years","total.20.to.24.years","percent.20.to.24.years","total.25.to.29.years","percent.25.to.29.years","total.30.to.34.years","percent.30.to.34.years","total.35.to.39.years","percent.35.to.39.years","total.40.to.44.years","percent.40.to.44.years","total.45.to.49.years","percent.45.to.49.years","total.50.to.54.years","percent.50.to.54.years","total.55.to.59.years","percent.55.to.59.years","total.60.to.64.years","percent.60.to.64.years","total.65.to.69.years","percent.65.to.69.years","total.70.to.74.years","percent.70.to.74.years","total.75.to.79.years","percent.75.to.79.years","total.80.to.84.years","percent.80.to.84.years","total.85.years.and.over","percent.85.years.and.over"
"710","40101",68362,4318,6.3,4192,6.1,5095,7.5,4639,6.8,4586,6.7,4293,6.3,4058,5.9,4228,6.2,4173,6.1,4347,6.4,4195,6.1,4929,7.2,3989,5.8,3494,5.1,2762,4,1936,2.8,1650,2.4,1478,2.2
"711","41035",67653,3830,5.7,4825,7.1,3623,5.4,4773,7.1,3666,5.4,4427,6.5,4258,6.3,3211,4.7,3816,5.6,3495,5.2,4063,6,3537,5.2,5519,8.2,4914,7.3,4060,6,2157,3.2,1898,2.8,1581,2.3
"712","42101",1584138,104241,6.6,93537,5.9,94786,6,96689,6.1,111614,7,160933,10.2,140970,8.9,109316,6.9,90054,5.7,89364,5.6,92004,5.8,93127,5.9,91748,5.8,69777,4.4,54218,3.4,38731,2.4,26859,1.7,26170,1.7
"713","45019",405905,23612,5.8,21050,5.2,23248,5.7,22805,5.6,25041,6.2,34491,8.5,33564,8.3,29889,7.4,24420,6,23904,5.9,24031,5.9,30554,7.5,23198,5.7,21728,5.4,19462,4.8,10760,2.7,5892,1.5,8256,2
"714","45047",70741,3833,5.4,3693,5.2,4578,6.5,5829,8.2,5077,7.2,4157,5.9,3534,5,3903,5.5,4601,6.5,4772,6.7,4662,6.6,4850,6.9,4257,6,3494,4.9,3397,4.8,2773,3.9,1627,2.3,1704,2.4
"715","47141",78843,4081,5.2,4286,5.4,4291,5.4,6386,8.1,8160,10.3,5404,6.9,4584,5.8,4343,5.5,5529,7,4488,5.7,4433,5.6,4125,5.2,5532,7,3987,5.1,3337,4.2,2751,3.5,1367,1.7,1759,2.2
"716","48257",128622,9284,7.2,9479,7.4,10628,8.3,10899,8.5,6323,4.9,8543,6.6,8698,6.8,9583,7.5,9463,7.4,7529,5.9,8145,6.3,6773,5.3,8250,6.4,4620,3.6,4549,3.5,2045,1.6,2189,1.7,1622,1.3
"717","48381",136271,8546,6.3,8746,6.4,9638,7.1,10151,7.4,9366,6.9,9374,6.9,9763,7.2,9717,7.1,7238,5.3,8891,6.5,7654,5.6,8140,6,8428,6.2,6820,5,5141,3.8,3106,2.3,2946,2.2,2606,1.9
"718","55071",79074,3904,4.9,5332,6.7,3890,4.9,4487,5.7,3963,5,4288,5.4,4025,5.1,4628,5.9,4878,6.2,4836,6.1,5953,7.5,6512,8.2,6437,8.1,5527,7,3360,4.2,2814,3.6,1907,2.4,2333,3
"719","55139",171020,9306,5.4,9667,5.7,9879,5.8,11734,6.9,14485,8.5,11183,6.5,11585,6.8,10020,5.9,10129,5.9,9869,5.8,11496,6.7,13342,7.8,10328,6,9101,5.3,6697,3.9,4751,2.8,3062,1.8,4386,2.6
"720","72031",147661,5706,3.9,7798,5.3,7238,4.9,9331,6.3,10052,6.8,10271,7,7802,5.3,7384,5,10858,7.4,9667,6.5,10014,6.8,8194,5.5,9936,6.7,8754,5.9,8287,5.6,7281,4.9,4481,3,4607,3.1
"721","01095",96109,6849,7.1,5896,6.1,7317,7.6,6216,6.5,5520,5.7,6036,6.3,4717,4.9,6264,6.5,5877,6.1,6642,6.9,5966,6.2,6038,6.3,6284,6.5,5119,5.3,4225,4.4,3470,3.6,1917,2,1756,1.8
"722","04017",110445,7751,7,7559,6.8,9324,8.4,7903,7.2,5837,5.3,7426,6.7,5964,5.4,6030,5.5,5616,5.1,5765,5.2,6475,5.9,7195,6.5,7438,6.7,6477,5.9,5649,5.1,3918,3.5,1934,1.8,2184,2
"723","06107",465861,35499,7.6,40991,8.8,42932,9.2,38237,8.2,32982,7.1,33113,7.1,32158,6.9,31229,6.7,28007,6,25634,5.5,25454,5.5,22936,4.9,24067,5.2,16441,3.5,14594,3.1,8854,1.9,6439,1.4,6294,1.4
"724","08077",153207,8479,5.5,11019,7.2,8518,5.6,10623,6.9,9896,6.5,9417,6.1,9341,6.1,7329,4.8,11005,7.2,9125,6,8609,5.6,10989,7.2,10056,6.6,8335,5.4,8190,5.3,4253,2.8,4073,2.7,3950,2.6
"725","09001",943823,51774,5.5,55583,5.9,65106,6.9,65626,7,59920,6.3,52731,5.6,54899,5.8,57542,6.1,59781,6.3,66400,7,71837,7.6,69219,7.3,63581,6.7,43371,4.6,38652,4.1,27938,3,17973,1.9,21890,2.3
"726","12089",85832,3833,4.5,4041,4.7,6258,7.3,4668,5.4,3182,3.7,4705,5.5,4724,5.5,4924,5.7,5572,6.5,5148,6,6334,7.4,7477,8.7,6179,7.2,5561,6.5,6010,7,3512,4.1,2545,3,1159,1.4
"727","17163",261059,16231,6.2,14791,5.7,19778,7.6,16214,6.2,14880,5.7,17613,6.7,17312,6.6,15331,5.9,17765,6.8,15997,6.1,17441,6.7,17644,6.8,19109,7.3,14340,5.5,9357,3.6,8429,3.2,4134,1.6,4693,1.8
"728","18035",114772,6026,5.3,6892,6,4751,4.1,10102,8.8,16240,14.1,7910,6.9,5410,4.7,5866,5.1,5050,4.4,6104,5.3,6839,6,7070,6.2,6581,5.7,5556,4.8,5449,4.7,3220,2.8,2521,2.2,3185,2.8
"729","18091",110007,6504,5.9,6753,6.1,6391,5.8,6217,5.7,6326,5.8,7865,7.1,6568,6,7656,7,6333,5.8,7029,6.4,7256,6.6,8349,7.6,7084,6.4,6533,5.9,5409,4.9,3931,3.6,1860,1.7,1943,1.8
"730","18095",129641,7304,5.6,7250,5.6,8796,6.8,8006,6.2,7917,6.1,8177,6.3,8665,6.7,8453,6.5,6940,5.4,8282,6.4,8818,6.8,8605,6.6,8790,6.8,7254,5.6,6443,5,4863,3.8,2187,1.7,2891,2.2
"731","21117",166051,11650,7,13188,7.9,8924,5.4,9716,5.9,10208,6.1,12281,7.4,12790,7.7,11767,7.1,9297,5.6,9610,5.8,10411,6.3,11905,7.2,10276,6.2,8738,5.3,6167,3.7,4069,2.5,2567,1.5,2487,1.5
"732","22055",242782,16857,6.9,16181,6.7,15041,6.2,16844,6.9,17005,7,17705,7.3,19455,8,17814,7.3,14348,5.9,14663,6,14686,6,17165,7.1,13154,5.4,12488,5.1,6999,2.9,5610,2.3,3373,1.4,3394,1.4
"733","24017",161503,9703,6,10969,6.8,10224,6.3,11161,6.9,11026,6.8,10816,6.7,10044,6.2,11022,6.8,9118,5.6,12406,7.7,13298,8.2,10755,6.7,11044,6.8,7674,4.8,4532,2.8,3507,2.2,1882,1.2,2322,1.4
"734","26077",264870,15602,5.9,15255,5.8,17203,6.5,18559,7,31953,12.1,18952,7.2,16752,6.3,15548,5.9,15364,5.8,13963,5.3,14896,5.6,15220,5.7,15775,6,12211,4.6,11463,4.3,7564,2.9,4165,1.6,4425,1.7
"735","27109",156277,11028,7.1,9652,6.2,10900,7,9478,6.1,9094,5.8,10163,6.5,11780,7.5,11384,7.3,9373,6,8885,5.7,9910,6.3,11777,7.5,8558,5.5,7025,4.5,6174,4,4974,3.2,2639,1.7,3483,2.2
"736","27141",96036,6867,7.2,7029,7.3,7089,7.4,6209,6.5,5976,6.2,6616,6.9,6729,7,8270,8.6,5310,5.5,6919,7.2,6722,7,7308,7.6,4399,4.6,3435,3.6,3205,3.3,1632,1.7,961,1,1360,1.4
"737","34009",92560,4071,4.4,3411,3.7,4346,4.7,4163,4.5,5483,5.9,5778,6.2,4814,5.2,4798,5.2,3678,4,5094,5.5,6880,7.4,7771,8.4,8205,8.9,7150,7.7,6435,7,4966,5.4,2882,3.1,2635,2.8
"738","35045",125043,8373,6.7,9157,7.3,9756,7.8,9428,7.5,6680,5.3,8632,6.9,8286,6.6,10050,8,6141,4.9,6408,5.1,6915,5.5,8593,6.9,7523,6,6990,5.6,4240,3.4,3592,2.9,2056,1.6,2223,1.8
"739","36089",108047,5341,4.9,6234,5.8,6171,5.7,9927,9.2,8883,8.2,6324,5.9,6043,5.6,5252,4.9,6345,5.9,6568,6.1,7505,6.9,7759,7.2,7227,6.7,5466,5.1,5265,4.9,2806,2.6,2381,2.2,2550,2.4
"740","37081",533670,31600,5.9,31172,5.8,35371,6.6,40355,7.6,38375,7.2,38966,7.3,34432,6.5,35323,6.6,30230,5.7,36405,6.8,34102,6.4,33414,6.3,33451,6.3,27097,5.1,20522,3.8,13366,2.5,8891,1.7,10598,2
"741","39095",429899,27037,6.3,25855,6,29419,6.8,27421,6.4,28063,6.5,32119,7.5,27988,6.5,27201,6.3,22440,5.2,26767,6.2,26438,6.1,30527,7.1,28415,6.6,26526,6.2,14906,3.5,10899,2.5,9417,2.2,8461,2
"742","40143",648360,46312,7.1,43863,6.8,47479,7.3,42521,6.6,40989,6.3,49155,7.6,45848,7.1,44997,6.9,38612,6,39640,6.1,37331,5.8,40513,6.2,37781,5.8,32376,5,23300,3.6,15714,2.4,10954,1.7,10975,1.7
"743","44003",163861,7752,4.7,8752,5.3,8336,5.1,8472,5.2,9865,6,10333,6.3,10671,6.5,10653,6.5,8738,5.3,11579,7.1,12683,7.7,11395,7,13713,8.4,8842,5.4,8866,5.4,5230,3.2,3547,2.2,4434,2.7
"744","48039",370200,25664,6.9,27708,7.5,28251,7.6,25904,7,22523,6.1,23587,6.4,24231,6.5,32312,8.7,25823,7,25386,6.9,22616,6.1,23618,6.4,18921,5.1,16238,4.4,11686,3.2,7176,1.9,4933,1.3,3623,1
"745","48491",566719,36808,6.5,40711,7.2,42770,7.5,39538,7,30524,5.4,36313,6.4,42689,7.5,50091,8.8,42692,7.5,42221,7.5,34522,6.1,31481,5.6,27700,4.9,22494,4,20583,3.6,9894,1.7,8376,1.5,7312,1.3
"746","53045",65507,3220,4.9,4067,6.2,3399,5.2,3377,5.2,4156,6.3,3663,5.6,3399,5.2,4051,6.2,2859,4.4,4071,6.2,3771,5.8,5915,9,4697,7.2,4752,7.3,4593,7,2665,4.1,1260,1.9,1592,2.4
"747","55105",163129,9852,6,10334,6.3,10574,6.5,11102,6.8,10318,6.3,9730,6,10518,6.4,10191,6.2,9000,5.5,10042,6.2,11505,7.1,12383,7.6,10429,6.4,9235,5.7,6581,4,3745,2.3,4366,2.7,3224,2
"748","72097",71986,2555,3.5,3870,5.4,3153,4.4,5692,7.9,7922,11,4215,5.9,3741,5.2,2860,4,3960,5.5,3582,5,3959,5.5,4142,5.8,4832,6.7,4637,6.4,4174,5.8,4156,5.8,2397,3.3,2139,3
"749","06057",99696,3931,3.9,4439,4.5,6037,6.1,4260,4.3,3523,3.5,5129,5.1,4784,4.8,5785,5.8,5676,5.7,5605,5.6,6002,6,7941,8,8838,8.9,9484,9.5,8009,8,4169,4.2,2932,2.9,3152,3.2
"750","12019",216072,11561,5.4,14074,6.5,15912,7.4,14383,6.7,11622,5.4,13263,6.1,13320,6.2,15264,7.1,12520,5.8,15638,7.2,14855,6.9,15819,7.3,13089,6.1,13107,6.1,9501,4.4,6619,3.1,2949,1.4,2576,1.2
"751","12055",105424,4345,4.1,5675,5.4,4800,4.6,6262,5.9,4683,4.4,3587,3.4,5340,5.1,4130,3.9,5950,5.6,5117,4.9,4681,4.4,5648,5.4,7961,7.6,9691,9.2,7697,7.3,8134,7.7,5096,4.8,6627,6.3
"752","12131",71375,3360,4.7,4069,5.7,4490,6.3,3990,5.6,3919,5.5,3073,4.3,4179,5.9,3755,5.3,5381,7.5,4841,6.8,5021,7,5376,7.5,5404,7.6,5306,7.4,3864,5.4,3081,4.3,1764,2.5,502,0.7
"753","15009",167218,9640,5.8,9888,5.9,10627,6.4,9862,5.9,7718,4.6,9934,5.9,10665,6.4,13086,7.8,9544,5.7,10989,6.6,11209,6.7,11812,7.1,11752,7,10751,6.4,7914,4.7,4959,3,2914,1.7,3954,2.4
"754","23005",293557,13506,4.6,16034,5.5,14873,5.1,17158,5.8,17007,5.8,20070,6.8,20514,7,20909,7.1,15739,5.4,19436,6.6,20346,6.9,23400,8,20592,7,18857,6.4,13175,4.5,9314,3.2,5989,2,6638,2.3
"755","33015",309176,13921,4.5,15321,5,19179,6.2,17809,5.8,16257,5.3,18439,6,18265,5.9,19304,6.2,16799,5.4,21719,7,25436,8.2,27535,8.9,23791,7.7,19181,6.2,14592,4.7,9322,3,5509,1.8,6797,2.2
"756","35031",72290,4686,6.5,5318,7.4,6944,9.6,6215,8.6,4822,6.7,5971,8.3,4267,5.9,3483,4.8,4761,6.6,4414,6.1,4098,5.7,2635,3.6,5395,7.5,2325,3.2,2668,3.7,1290,1.8,1484,2.1,1514,2.1
"757","36011",77145,3951,5.1,4632,6,3874,5,4611,6,4008,5.2,5264,6.8,4975,6.4,5212,6.8,4116,5.3,4817,6.2,5433,7,6553,8.5,5377,7,4663,6,3575,4.6,1870,2.4,2538,3.3,1676,2.2
"758","36047",2582830,187096,7.2,156195,6,158534,6.1,136580,5.3,159102,6.2,243634,9.4,230933,8.9,195947,7.6,164363,6.4,154822,6,148478,5.7,147328,5.7,141021,5.5,115276,4.5,88781,3.4,65210,2.5,43734,1.7,45796,1.8
"759","37089",116748,4831,4.1,6830,5.9,6036,5.2,6988,6,5186,4.4,5285,4.5,5388,4.6,6257,5.4,5644,4.8,8804,7.5,8436,7.2,8447,7.2,8277,7.1,8471,7.3,8391,7.2,6186,5.3,3630,3.1,3661,3.1
"760","39057",167995,9284,5.5,8597,5.1,10599,6.3,13665,8.1,13144,7.8,11575,6.9,10721,6.4,10603,6.3,8477,5,9601,5.7,10154,6,11242,6.7,11274,6.7,9881,5.9,7142,4.3,5168,3.1,4582,2.7,2286,1.4
"761","39139",121099,7081,5.8,6479,5.4,7918,6.5,6823,5.6,6683,5.5,8128,6.7,6914,5.7,7924,6.5,6646,5.5,7172,5.9,8778,7.2,9174,7.6,7644,6.3,6838,5.6,5776,4.8,4262,3.5,3108,2.6,3751,3.1
"762","41033",87393,4279,4.9,4457,5.1,4957,5.7,5108,5.8,2931,3.4,5379,6.2,5037,5.8,3885,4.4,4703,5.4,5120,5.9,5128,5.9,6417,7.3,7129,8.2,6804,7.8,6498,7.4,4232,4.8,3405,3.9,1924,2.2
"763","42007",164742,8719,5.3,8806,5.3,8951,5.4,8279,5,8519,5.2,10090,6.1,9324,5.7,11234,6.8,6829,4.1,9555,5.8,12151,7.4,14647,8.9,12019,7.3,12590,7.6,7184,4.4,6245,3.8,4863,3,4737,2.9
"764","42037",65456,3225,4.9,3204,4.9,3013,4.6,4925,7.5,7595,11.6,3376,5.2,3238,4.9,3793,5.8,2933,4.5,4165,6.4,4131,6.3,4381,6.7,4765,7.3,4485,6.9,2779,4.2,1574,2.4,1760,2.7,2114,3.2
"765","45031",66802,2906,4.4,3223,4.8,6105,9.1,5396,8.1,4808,7.2,2675,4,3777,5.7,4126,6.2,3898,5.8,4248,6.4,3580,5.4,3691,5.5,5729,8.6,4925,7.4,2859,4.3,2320,3.5,1483,2.2,1053,1.6
"766","45079",414576,23898,5.8,25339,6.1,23849,5.8,35329,8.5,45491,11,34066,8.2,26665,6.4,28316,6.8,23114,5.6,24564,5.9,24039,5.8,24461,5.9,22567,5.4,17634,4.3,15560,3.8,8190,2,5888,1.4,5606,1.4
"767","48157",787858,54463,6.9,59258,7.5,64041,8.1,58126,7.4,44845,5.7,44655,5.7,50282,6.4,59052,7.5,61278,7.8,59915,7.6,51249,6.5,49967,6.3,43447,5.5,33326,4.2,24587,3.1,13974,1.8,7764,1,7629,1
"768","48181",133991,8103,6,6969,5.2,10790,8.1,9282,6.9,8328,6.2,8546,6.4,7804,5.8,7048,5.3,8806,6.6,7662,5.7,8465,6.3,10823,8.1,7759,5.8,6647,5,7378,5.5,4323,3.2,2737,2,2521,1.9
"769","48451",118189,8039,6.8,6750,5.7,9224,7.8,8773,7.4,9701,8.2,9894,8.4,8590,7.3,7689,6.5,5858,5,6071,5.1,6017,5.1,7055,6,6641,5.6,6529,5.5,4464,3.8,2734,2.3,1838,1.6,2322,2
"770","51019",78747,3558,4.5,4646,5.9,4157,5.3,4710,6,4443,5.6,3856,4.9,4033,5.1,3779,4.8,4309,5.5,5634,7.2,5895,7.5,6294,8,6742,8.6,6082,7.7,3838,4.9,2404,3.1,2607,3.3,1760,2.2
"771","53021",94347,8398,8.9,8670,9.2,9286,9.8,7205,7.6,5942,6.3,7195,7.6,7917,8.4,6027,6.4,6960,7.4,5732,6.1,4347,4.6,3213,3.4,4288,4.5,2448,2.6,3243,3.4,1802,1.9,1004,1.1,670,0.7
"772","53025",97331,7347,7.5,7396,7.6,9167,9.4,7742,8,6037,6.2,7087,7.3,6148,6.3,6326,6.5,5755,5.9,4862,5,5087,5.2,4968,5.1,5328,5.5,4769,4.9,3975,4.1,2724,2.8,1288,1.3,1325,1.4
"773","55109",89694,5186,5.8,5332,5.9,7711,8.6,6248,7,4702,5.2,4593,5.1,5307,5.9,6149,6.9,6294,7,6308,7,6507,7.3,7731,8.6,5134,5.7,4597,5.1,3135,3.5,2220,2.5,1260,1.4,1280,1.4
"774","05045",124806,7429,6,9413,7.5,7112,5.7,10002,8,13811,11.1,9540,7.6,8435,6.8,7057,5.7,8197,6.6,7642,6.1,6970,5.6,6399,5.1,7079,5.7,5748,4.6,4167,3.3,3033,2.4,1223,1,1549,1.2
"775","06019",994400,77286,7.8,77081,7.8,82856,8.3,71831,7.2,70459,7.1,80398,8.1,72603,7.3,67699,6.8,59148,5.9,54477,5.5,54823,5.5,55778,5.6,48421,4.9,39199,3.9,31803,3.2,17929,1.8,15424,1.6,17185,1.7
"776","08013",326078,14478,4.4,17138,5.3,18944,5.8,26536,8.1,32819,10.1,25008,7.7,21104,6.5,21070,6.5,19384,5.9,21987,6.7,19918,6.1,19776,6.1,21883,6.7,16597,5.1,12149,3.7,7100,2.2,4321,1.3,5866,1.8
"777","08041",713856,48241,6.8,48035,6.7,47693,6.7,48413,6.8,57329,8,60473,8.5,54312,7.6,45602,6.4,44966,6.3,42529,6,41350,5.8,44027,6.2,39489,5.5,32562,4.6,24399,3.4,13959,2,9683,1.4,10794,1.5
"778","12015",184998,6143,3.3,5872,3.2,6174,3.3,7101,3.8,6788,3.7,7207,3.9,6798,3.7,5093,2.8,7094,3.8,9139,4.9,11170,6,14541,7.9,17557,9.5,21446,11.6,17892,9.7,13351,7.2,10720,5.8,10912,5.9
"779","12057",1436888,88861,6.2,87049,6.1,94239,6.6,90550,6.3,91735,6.4,112884,7.9,106746,7.4,105998,7.4,89589,6.2,97660,6.8,93364,6.5,90443,6.3,81962,5.7,69126,4.8,53549,3.7,34605,2.4,24284,1.7,24244,1.7
"780","18043",77781,4429,5.7,4562,5.9,5099,6.6,5523,7.1,4397,5.7,5140,6.6,4826,6.2,5456,7,4496,5.8,4965,6.4,4878,6.3,6497,8.4,5079,6.5,4182,5.4,3367,4.3,1441,1.9,1760,2.3,1684,2.2
"781","21093",110356,7070,6.4,6901,6.3,8778,8,7040,6.4,7556,6.8,7152,6.5,8387,7.6,7381,6.7,5993,5.4,7021,6.4,7295,6.6,6657,6,7280,6.6,5715,5.2,3625,3.3,2662,2.4,2223,2,1620,1.5
"782","22071",391006,23003,5.9,19199,4.9,23532,6,21560,5.5,24441,6.3,33935,8.7,35597,9.1,30819,7.9,22704,5.8,22723,5.8,23704,6.1,27705,7.1,24552,6.3,21466,5.5,14350,3.7,9594,2.5,6232,1.6,5890,1.5
"783","23003",67111,3410,5.1,3182,4.7,3662,5.5,3829,5.7,3405,5.1,3368,5,3039,4.5,2993,4.5,3713,5.5,4112,6.1,5090,7.6,4938,7.4,6177,9.2,5117,7.6,4128,6.2,2410,3.6,1716,2.6,2822,4.2
"784","24005",828431,48855,5.9,47474,5.7,52529,6.3,52396,6.3,50076,6,57120,6.9,56796,6.9,53206,6.4,48173,5.8,51037,6.2,54618,6.6,56593,6.8,57016,6.9,45711,5.5,33903,4.1,25831,3.1,16737,2,20360,2.5
"785","24043",150926,8304,5.5,8269,5.5,10673,7.1,8495,5.6,9488,6.3,10515,7,9551,6.3,11112,7.4,7492,5,10663,7.1,10775,7.1,8382,5.6,11141,7.4,7879,5.2,6733,4.5,4748,3.1,3955,2.6,2751,1.8
"786","26125",1259201,68953,5.5,68448,5.4,77673,6.2,76317,6.1,74811,5.9,87168,6.9,80338,6.4,82684,6.6,74633,5.9,87635,7,88978,7.1,90759,7.2,89218,7.1,70756,5.6,54051,4.3,37163,3,22178,1.8,27438,2.2
"787","34001",265429,14350,5.4,16128,6.1,15915,6,16710,6.3,19372,7.3,14347,5.4,14654,5.5,16161,6.1,14033,5.3,17531,6.6,18735,7.1,21900,8.3,18035,6.8,13016,4.9,14340,5.4,9805,3.7,5329,2,5068,1.9
"788","34023",829685,47910,5.8,48470,5.8,52306,6.3,54013,6.5,54125,6.5,55394,6.7,57113,6.9,61316,7.4,52868,6.4,56305,6.8,57360,6.9,57657,6.9,50710,6.1,41585,5,29447,3.5,20170,2.4,14778,1.8,18158,2.2
"789","34037",140799,6699,4.8,6920,4.9,8580,6.1,9121,6.5,8351,5.9,7605,5.4,8210,5.8,7876,5.6,7837,5.6,9852,7,11639,8.3,12508,8.9,11925,8.5,9332,6.6,5281,3.8,4296,3.1,2820,2,1947,1.4
"790","35005",64689,4092,6.3,4513,7,4834,7.5,5084,7.9,4085,6.3,4210,6.5,4102,6.3,4297,6.6,3044,4.7,3565,5.5,4127,6.4,3419,5.3,4487,6.9,3307,5.1,2598,4,1706,2.6,1660,2.6,1559,2.4
"791","35013",217522,13604,6.3,15085,6.9,15486,7.1,16523,7.6,22577,10.4,14871,6.8,13184,6.1,11666,5.4,12720,5.8,11551,5.3,11297,5.2,12347,5.7,11825,5.4,10807,5,9044,4.2,6520,3,5290,2.4,3125,1.4
"792","36085",476179,27413,5.8,28482,6,29742,6.2,29915,6.3,27976,5.9,33845,7.1,31047,6.5,28938,6.1,30375,6.4,32043,6.7,33526,7,32166,6.8,33657,7.1,26691,5.6,19292,4.1,14287,3,8183,1.7,8601,1.8
"793","42071",543557,35227,6.5,32409,6,38814,7.1,36951,6.8,33386,6.1,36272,6.7,34429,6.3,30760,5.7,30886,5.7,31509,5.8,34053,6.3,35817,6.6,34293,6.3,30433,5.6,22835,4.2,18873,3.5,14477,2.7,12133,2.2
"794","42107",142067,6753,4.8,6371,4.5,9740,6.9,7783,5.5,6977,4.9,10381,7.3,7936,5.6,8009,5.6,7883,5.5,10407,7.3,10054,7.1,10559,7.4,10335,7.3,9334,6.6,6909,4.9,4563,3.2,3925,2.8,4148,2.9
"795","42129",350611,15538,4.4,17447,5,19079,5.4,19351,5.5,18095,5.2,19161,5.5,18162,5.2,19416,5.5,18560,5.3,23296,6.6,25440,7.3,28171,8,29459,8.4,24833,7.1,19241,5.5,14598,4.2,9994,2.9,10770,3.1
"796","45083",313888,17673,5.6,19840,6.3,22597,7.2,20958,6.7,20858,6.6,22322,7.1,20268,6.5,19867,6.3,17046,5.4,20898,6.7,20864,6.6,20532,6.5,19987,6.4,16918,5.4,13007,4.1,10377,3.3,5334,1.7,4542,1.4
"797","48339",590925,40380,6.8,41196,7,47479,8,40999,6.9,34082,5.8,37997,6.4,37169,6.3,39232,6.6,42031,7.1,40598,6.9,39401,6.7,40934,6.9,31013,5.2,30605,5.2,18687,3.2,13837,2.3,9674,1.6,5611,0.9
"798","51087",329261,19677,6,21917,6.7,19944,6.1,20049,6.1,19268,5.9,22853,6.9,23410,7.1,20535,6.2,23494,7.1,22443,6.8,21849,6.6,21511,6.5,20748,6.3,16762,5.1,13468,4.1,7044,2.1,6713,2,7576,2.3
"799","51760",228783,13179,5.8,9420,4.1,10967,4.8,14555,6.4,19536,8.5,27701,12.1,22746,9.9,15862,6.9,12034,5.3,11724,5.1,12654,5.5,14917,6.5,13275,5.8,11243,4.9,7039,3.1,4469,2,2529,1.1,4933,2.2
"800","55035",104534,6016,5.8,5391,5.2,6106,5.8,7932,7.6,13957,13.4,6790,6.5,6689,6.4,6644,6.4,4853,4.6,5303,5.1,5777,5.5,6644,6.4,5743,5.5,6052,5.8,3714,3.6,2972,2.8,2121,2,1830,1.8
"801","55063",118230,6261,5.3,5916,5,7156,6.1,9205,7.8,13705,11.6,8060,6.8,7136,6,6110,5.2,6693,5.7,6734,5.7,7209,6.1,7154,6.1,7769,6.6,5969,5,4776,4,3411,2.9,2149,1.8,2817,2.4
"802","01003",218022,10878,5,9445,4.3,18093,8.3,13489,6.2,10426,4.8,11901,5.5,11597,5.3,12965,5.9,13025,6,15003,6.9,15114,6.9,16569,7.6,15074,6.9,12589,5.8,14563,6.7,9100,4.2,4364,2,3827,1.8
"803","05125",121421,7170,5.9,7177,5.9,8610,7.1,8261,6.8,6649,5.5,7171,5.9,8097,6.7,8595,7.1,7546,6.2,7392,6.1,8209,6.8,8175,6.7,6576,5.4,7105,5.9,5645,4.6,4430,3.6,2465,2,2148,1.8
"804","12009",596849,27832,4.7,26799,4.5,35203,5.9,33580,5.6,29728,5,34794,5.8,32907,5.5,33229,5.6,29126,4.9,34316,5.7,40093,6.7,47826,8,50148,8.4,44615,7.5,31680,5.3,26236,4.4,18110,3,20627,3.5
"805","17091",110024,6451,5.9,6818,6.2,7379,6.7,8548,7.8,8104,7.4,7038,6.4,6817,6.2,6369,5.8,6487,5.9,6690,6.1,6494,5.9,7203,6.5,7282,6.6,5568,5.1,4752,4.3,3009,2.7,2252,2,2763,2.5
"806","18005",82753,5470,6.6,5929,7.2,4741,5.7,5213,6.3,4472,5.4,6797,8.2,5500,6.6,6741,8.1,3457,4.2,5849,7.1,4903,5.9,5533,6.7,4599,5.6,4724,5.7,2865,3.5,2712,3.3,2092,2.5,1156,1.4
"807","18057",330086,21691,6.6,23958,7.3,28491,8.6,22111,6.7,17178,5.2,18157,5.5,19956,6,25928,7.9,25089,7.6,24511,7.4,23661,7.2,20791,6.3,17256,5.2,14409,4.4,10411,3.2,7499,2.3,4043,1.2,4946,1.5
"808","19153",487204,34665,7.1,32058,6.6,35561,7.3,31077,6.4,30328,6.2,38484,7.9,36384,7.5,35933,7.4,31168,6.4,30786,6.3,29435,6,33404,6.9,24873,5.1,22112,4.5,15511,3.2,11385,2.3,6782,1.4,7258,1.5
"809","20209",165324,13318,8.1,13344,8.1,12788,7.7,10560,6.4,10090,6.1,12213,7.4,11652,7,12272,7.4,10450,6.3,9501,5.7,9333,5.6,10733,6.5,8726,5.3,7853,4.8,4469,2.7,3699,2.2,2718,1.6,1605,1
"810","22045",70941,4882,6.9,3885,5.5,6515,9.2,5137,7.2,4842,6.8,3936,5.5,4316,6.1,4741,6.7,3560,5,4029,5.7,4925,6.9,4932,7,4860,6.9,3564,5,2782,3.9,2066,2.9,1143,1.6,826,1.2
"811","22103",258111,15621,6.1,14484,5.6,20701,8,17075,6.6,13561,5.3,14896,5.8,14279,5.5,15635,6.1,17025,6.6,17223,6.7,17391,6.7,19152,7.4,17424,6.8,14831,5.7,11870,4.6,7334,2.8,4973,1.9,4636,1.8
"812","24001",70975,3519,5,3149,4.4,3574,5,5227,7.4,5998,8.5,4186,5.9,4221,5.9,3519,5,4388,6.2,4842,6.8,4552,6.4,5416,7.6,4237,6,3839,5.4,3820,5.4,3257,4.6,2099,3,1132,1.6
