"countyCode","population","total.Under.5.years","percent.Under.5.years","total.5.to.9.years","percent.5.to.9.years","total.10.to.14.years","percent.10.to.14.years","total.15.to.19.years","percent.15.to.19.years","total.20.to.24.years","percent.20.to.24.years","total.25.to.29.years","percent.25.to.29.years","total.30.to.34.years","percent.30.to.34.years","total.35.to.39.years","percent.35.to.39.years","total.40.to.44.years","percent.40.to.44.years","total.45.to.49.years","percent.45.to.49.years","total.50.to.54.years","percent.50.to.54.years","total.55.to.59.years","percent.55.to.59.years","total.60.to.64.years","percent.60.to.64.years","total.65.to.69.years","percent.65.to.69.years","total.70.to.74.years","percent.70.to.74.years","total.75.to.79.years","percent.75.to.79.years","total.80.to.84.years","percent.80.to.84.years","total.85.years.and.over","percent.85.years.and.over"
"657","44005",82542,3113,3.8,3221,3.9,4511,5.5,5225,6.3,4856,5.9,6469,7.8,4759,5.8,4683,5.7,3696,4.5,4766,5.8,6049,7.3,5752,7,6803,8.2,5623,6.8,5102,6.2,3529,4.3,2587,3.1,1798,2.2
"658","44009",126179,5053,4,5066,4,6042,4.8,11348,9,11440,9.1,6813,5.4,5540,4.4,6274,5,5422,4.3,7697,6.1,8922,7.1,10803,8.6,9604,7.6,9077,7.2,6535,5.2,5174,4.1,2149,1.7,3220,2.6
"659","45073",78374,3698,4.7,4950,6.3,4093,5.2,4511,5.8,4740,6,4785,6.1,3896,5,3524,4.5,3842,4.9,4501,5.7,4747,6.1,6296,8,6158,7.9,6263,8,5099,6.5,3617,4.6,2172,2.8,1482,1.9
"660","48187",163694,10245,6.3,12417,7.6,11097,6.8,13350,8.2,8691,5.3,9477,5.8,11474,7,10760,6.6,11590,7.1,11609,7.1,11179,6.8,10909,6.7,8804,5.4,7886,4.8,6021,3.7,3824,2.3,2532,1.5,1829,1.1
"661","48215",865939,77170,8.9,75391,8.7,81494,9.4,76709,8.9,65787,7.6,62732,7.2,54074,6.2,53230,6.1,55932,6.5,51106,5.9,44116,5.1,37480,4.3,34703,4,30878,3.6,22625,2.6,17757,2.1,14213,1.6,10542,1.2
"662","48329",172578,14717,8.5,13500,7.8,14023,8.1,11150,6.5,10478,6.1,15246,8.8,15029,8.7,12374,7.2,12140,7,9392,5.4,8411,4.9,8717,5.1,9201,5.3,6739,3.9,3657,2.1,2801,1.6,2670,1.5,2333,1.4
"663","53061",814901,51607,6.3,49801,6.1,53060,6.5,46209,5.7,46606,5.7,59008,7.2,61985,7.6,66416,8.2,49839,6.1,55615,6.8,55173,6.8,57204,7,52495,6.4,39357,4.8,29533,3.6,19202,2.4,9760,1.2,12031,1.5
"664","55079",948201,64694,6.8,61928,6.5,65010,6.9,62175,6.6,64385,6.8,81516,8.6,73267,7.7,69028,7.3,52298,5.5,55016,5.8,55393,5.8,54467,5.7,60088,6.3,44117,4.7,30393,3.2,20811,2.2,14450,1.5,19165,2
"665","55101",196584,11887,6,11910,6.1,13606,6.9,12448,6.3,11203,5.7,12245,6.2,11965,6.1,13746,7,11523,5.9,11442,5.8,13503,6.9,14335,7.3,14370,7.3,10876,5.5,8049,4.1,5638,2.9,4137,2.1,3701,1.9
"666","72113",133191,5910,4.4,7708,5.8,7155,5.4,8554,6.4,9533,7.2,9191,6.9,7453,5.6,8082,6.1,6828,5.1,7661,5.8,8083,6.1,8025,6,9622,7.2,8983,6.7,7168,5.4,5449,4.1,4506,3.4,3280,2.5
